Order Date,Category,Sales
2014-01-03,Office Supplies,16.448
2014-01-04,Office Supplies,288.06
2014-01-05,Office Supplies,19.536
2014-01-06,Furniture,2573.82
2014-01-06,Office Supplies,685.34
2014-01-06,Technology,1147.94
2014-01-07,Furniture,76.728
2014-01-07,Office Supplies,10.43
2014-01-09,Office Supplies,9.344
2014-01-09,Technology,31.2
2014-01-10,Furniture,51.94
2014-01-10,Office Supplies,2.89
2014-01-11,Furniture,9.94
2014-01-13,Furniture,879.9390000000001
2014-01-13,Office Supplies,2027.116
2014-01-13,Technology,646.74
2014-01-14,Furniture,61.96
2014-01-15,Technology,149.95
2014-01-16,Furniture,127.104
2014-01-16,Office Supplies,48.66
2014-01-16,Technology,124.2
2014-01-18,Office Supplies,64.864
2014-01-19,Furniture,181.47
2014-01-19,Office Supplies,197.124
2014-01-20,Furniture,1413.51
2014-01-20,Office Supplies,560.4300000000001
2014-01-20,Technology,699.93
2014-01-21,Furniture,25.248
2014-01-23,Office Supplies,46.019999999999996
2014-01-26,Furniture,217.2
2014-01-26,Office Supplies,536.72
2014-01-26,Technology,343.33
2014-01-27,Furniture,333.0
2014-01-27,Office Supplies,93.66999999999999
2014-01-28,Office Supplies,3.928
2014-01-30,Office Supplies,240.5
2014-01-31,Furniture,290.666
2014-02-01,Technology,468.9
2014-02-02,Office Supplies,30.686
2014-02-02,Technology,180.96
2014-02-03,Office Supplies,97.11200000000001
2014-02-04,Office Supplies,134.38400000000001
2014-02-06,Office Supplies,23.951999999999998
2014-02-06,Technology,306.56
2014-02-07,Office Supplies,64.96
2014-02-07,Technology,115.36
2014-02-08,Furniture,14.56
2014-02-11,Furniture,1650.05
2014-02-11,Office Supplies,158.89999999999998
2014-02-11,Technology,234.45
2014-02-12,Furniture,129.568
2014-02-14,Office Supplies,336.756
2014-02-14,Technology,239.97
2014-02-15,Office Supplies,21.36
2014-02-16,Office Supplies,9.04
2014-02-17,Office Supplies,54.208
2014-02-18,Furniture,25.16
2014-02-18,Office Supplies,12.624
2014-02-20,Furniture,20.32
2014-02-20,Office Supplies,12.96
2014-02-20,Technology,62.31
2014-02-21,Office Supplies,8.85
2014-02-22,Office Supplies,19.44
2014-02-23,Office Supplies,11.364
2014-02-24,Office Supplies,55.672
2014-02-27,Office Supplies,19.456
2014-03-01,Furniture,1893.995
2014-03-01,Office Supplies,303.216
2014-03-01,Technology,5.94
2014-03-02,Office Supplies,51.184
2014-03-02,Technology,151.2
2014-03-03,Furniture,928.8019999999999
2014-03-03,Office Supplies,407.1
2014-03-03,Technology,9.99
2014-03-04,Office Supplies,370.452
2014-03-05,Office Supplies,225.59199999999998
2014-03-05,Technology,479.97
2014-03-07,Furniture,966.9839999999999
2014-03-07,Office Supplies,594.078
2014-03-10,Office Supplies,741.956
2014-03-11,Furniture,8.32
2014-03-11,Office Supplies,289.064
2014-03-11,Technology,620.9300000000001
2014-03-14,Furniture,1139.92
2014-03-14,Office Supplies,310.91999999999996
2014-03-14,Technology,657.7099999999999
2014-03-15,Furniture,45.696
2014-03-15,Office Supplies,325.086
2014-03-16,Technology,471.92
2014-03-17,Furniture,3265.23
2014-03-17,Office Supplies,695.1279999999999
2014-03-18,Furniture,1462.4499999999998
2014-03-18,Office Supplies,1904.518
2014-03-18,Technology,24739.748
2014-03-19,Furniture,25.008
2014-03-19,Office Supplies,71.538
2014-03-19,Technology,494.216
2014-03-21,Furniture,251.328
2014-03-21,Office Supplies,358.558
2014-03-21,Technology,3499.93
2014-03-22,Furniture,314.352
2014-03-22,Office Supplies,149.741
2014-03-23,Office Supplies,340.31199999999995
2014-03-23,Technology,604.752
2014-03-24,Furniture,40.48
2014-03-24,Office Supplies,24.9
2014-03-25,Furniture,366.786
2014-03-25,Office Supplies,46.879999999999995
2014-03-25,Technology,45.48
2014-03-26,Office Supplies,50.046
2014-03-26,Technology,95.084
2014-03-28,Furniture,1515.308
2014-03-28,Office Supplies,6.12
2014-03-28,Technology,302.376
2014-03-29,Furniture,890.841
2014-03-30,Furniture,332.968
2014-03-30,Office Supplies,585.4100000000001
2014-03-30,Technology,251.944
2014-03-31,Furniture,1125.488
2014-03-31,Office Supplies,754.0799999999999
2014-03-31,Technology,79.984
2014-04-01,Office Supplies,119.88799999999999
2014-04-02,Furniture,177.68
2014-04-02,Office Supplies,230.948
2014-04-02,Technology,1049.93
2014-04-03,Office Supplies,11.16
2014-04-03,Technology,222.29
2014-04-04,Furniture,5.47
2014-04-04,Office Supplies,370.394
2014-04-04,Technology,99.98
2014-04-05,Office Supplies,5266.108
2014-04-05,Technology,28.99
2014-04-06,Furniture,933.384
2014-04-06,Office Supplies,266.652
2014-04-06,Technology,450.654
2014-04-07,Furniture,8.96
2014-04-07,Office Supplies,181.29
2014-04-07,Technology,830.9200000000001
2014-04-08,Furniture,1487.622
2014-04-08,Office Supplies,71.168
2014-04-08,Technology,399.96
2014-04-11,Office Supplies,113.94399999999999
2014-04-11,Technology,1801.2959999999998
2014-04-12,Furniture,308.499
2014-04-12,Office Supplies,90.168
2014-04-12,Technology,1513.456
2014-04-13,Office Supplies,566.648
2014-04-13,Technology,71.928
2014-04-15,Furniture,187.76
2014-04-15,Office Supplies,106.96
2014-04-16,Office Supplies,39.072
2014-04-18,Furniture,317.058
2014-04-18,Office Supplies,187.53
2014-04-18,Technology,515.944
2014-04-19,Furniture,76.14
2014-04-19,Office Supplies,129.32999999999998
2014-04-20,Furniture,1205.61
2014-04-20,Office Supplies,44.84
2014-04-21,Office Supplies,845.36
2014-04-22,Office Supplies,257.752
2014-04-23,Furniture,585.08
